Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/gen-03.smt2,1,1,1,0.002999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-04.smt2,1,1,1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-05.smt2,2,1,2,0.002,0.0,0.002,0.0,0.0,0.0,0.0,8.0,4.0,3.0,8.0,8.0,0.0,0.0,sat,sat,1,0
zankl/gen-06.smt2,2,2,3,0.056992,0.002,0.012998,0.001999,0.008998,0.002999,0.002,343.0,4.0,337.0,843.0,676.0,167.0,0.0,sat,sat,1,0
zankl/gen-07.smt2,2,1,2,0.002,0.0,0.001,0.0,0.0,0.0,0.0,6.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-08.smt2,2,2,3,0.061991,0.003,0.012996,0.001,0.004999,0.005,0.001,403.0,4.0,397.0,993.0,796.0,197.0,0.0,sat,sat,1,0
zankl/gen-09.smt2,2,2,3,0.06199,0.003999,0.011999,0.0,0.007999,0.004999,-6.93889e-18,389.0,4.0,383.0,958.0,768.0,190.0,0.0,sat,sat,1,0
zankl/gen-10.smt2,1,1,1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-13.smt2,1,1,1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,4.0,3.0,0.0,unsat,unsat,1,0
zankl/gen-14.smt2,1,1,1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,4.0,3.0,0.0,unsat,unsat,1,0
zankl/gen-15.smt2,2,2,3,500.093746,0.548911,2.740585,0.029993,598.120488,0.509919,8.164807,37296.0,71387.0,25605.0,93154.0,86187.0,6961.0,6.0,unsat,Timeout,1,0
zankl/gen-16.smt2,2,2,3,0.059991,0.005999,0.016996,0.0,0.004999,0.003,-6.93889e-18,343.0,4.0,337.0,843.0,676.0,167.0,0.0,sat,sat,1,0
zankl/gen-17.smt2,2,2,3,500.103848,0.357947,2.067696,0.001,733.131921,0.400935,6.150068,27209.0,56691.0,13696.0,68079.0,67983.0,94.0,2.0,unsat,Timeout,1,0
zankl/gen-18.smt2,2,2,3,0.06399,0.004997,0.013999,0.0,0.012999,0.003999,0.0,353.0,4.0,347.0,868.0,696.0,172.0,0.0,sat,sat,1,0
zankl/gen-19.smt2,2,2,3,0.065989,0.004,0.017997,0.001,0.012997,0.005,-1.38778e-17,369.0,4.0,363.0,908.0,728.0,180.0,0.0,sat,sat,1,0
zankl/matrix-1-all-01.smt2,19,6,41,500.009145,5.034218,4.627284,0.002,645.309686,0.348966,8.750692,24582.0,54158.0,22571.0,59173.0,48806.0,395.0,9972.0,sat,Timeout,0,0
zankl/matrix-1-all-10.smt2,32,11,62,500.003,144.428,110.013,3.14356,134.951,0.817867,72.2002,2362.0,495592.0,317620.0,496537.0,4670.0,398796.0,93071.0,sat,Timeout,0,0
zankl/matrix-1-all-11.smt2,19,6,36,0.020997,0.004,0.010997,0.0,0.0,0.0,0.0,81.0,24.0,15.0,54.0,53.0,0.0,1.0,sat,sat,0,0
zankl/matrix-1-all-12.smt2,29,11,59,0.567914,0.145977,0.186968,0.0,0.023995,0.061995,0.006,686.0,1172.0,306.0,1204.0,1198.0,1.0,5.0,sat,sat,0,0
zankl/matrix-1-all-13.smt2,31,9,65,500.001,261.053,9.61857,2.6276,68.6505,0.103987,56.7275,698.0,755916.0,755022.0,755924.0,1204.0,732638.0,22082.0,sat,Timeout,0,0
zankl/matrix-1-all-14.smt2,14,7,30,0.015998,0.005999,0.004999,0.0,0.0,0.0,-1.73472e-18,58.0,15.0,10.0,31.0,29.0,0.0,2.0,sat,sat,0,0
zankl/matrix-1-all-15.smt2,10,7,24,0.032995,0.003999,0.026996,0.0,0.0,0.002,-3.46945e-18,66.0,63.0,26.0,81.0,70.0,4.0,7.0,unknown,sat,0,0
zankl/matrix-1-all-16.smt2,50,16,113,500.002,201.12,2.26466,2.51561,41.6176,0.082992,22.0856,1001.0,291553.0,253557.0,291647.0,1947.0,289512.0,188.0,sat,Timeout,0,0
zankl/matrix-1-all-17.smt2,29,9,97,71.1222,22.5927,0.713886,0.297962,1.78473,0.041992,1.3448,958.0,60953.0,24145.0,61015.0,1769.0,59152.0,94.0,sat,sat,0,0
zankl/matrix-1-all-18.smt2,6,5,16,0.006999,0.0,0.003,0.0,0.0,0.0,0.0,24.0,2.0,2.0,4.0,4.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-1-all-19.smt2,35,10,85,500.003,237.289,1.92669,2.11268,75.4335,0.048994,63.6314,1816.0,468462.0,385434.0,468518.0,3597.0,462843.0,2078.0,sat,Timeout,0,0
zankl/matrix-1-all-2.smt2,14,8,23,0.016997,0.001,0.016997,0.0,0.0,0.001999,0.0,51.0,17.0,10.0,31.0,29.0,0.0,2.0,sat,sat,0,0
zankl/matrix-1-all-20.smt2,16,7,32,0.019997,0.002,0.005997,0.0,0.001,0.0,0.0,62.0,15.0,10.0,31.0,29.0,0.0,2.0,sat,sat,0,0
zankl/matrix-1-all-21.smt2,13,10,30,10.1875,4.80227,2.25465,0.073991,1.14681,0.027998,0.919868,893.0,17670.0,14661.0,17684.0,1868.0,15171.0,645.0,sat,sat,0,0
zankl/matrix-1-all-22.smt2,19,13,32,0.016998,0.002,0.010998,0.0,0.0,0.001,-3.46945e-18,63.0,10.0,8.0,26.0,25.0,0.0,1.0,sat,sat,0,0
zankl/matrix-1-all-23.smt2,39,10,77,64.4182,23.1185,6.20207,0.424939,13.458,0.06399,9.50754,2102.0,73526.0,56965.0,74402.0,4261.0,68225.0,1916.0,sat,sat,0,0
zankl/matrix-1-all-24.smt2,11,5,23,0.086987,0.013997,0.056994,0.0,0.004,0.001,0.001999,248.0,503.0,112.0,531.0,527.0,2.0,2.0,unknown,sat,0,0
zankl/matrix-1-all-25.smt2,55,11,124,500.002,139.247,36.9414,1.73476,216.985,0.090991,69.3203,3597.0,396597.0,183865.0,397181.0,7243.0,386558.0,3380.0,sat,Timeout,0,0
zankl/matrix-1-all-26.smt2,17,9,51,500.0051,93.156,3.140498,0.698888,159.51358,0.12298,42.05257,3426.0,196885.0,205970.0,226239.0,7215.0,209300.0,9724.0,unknown,Timeout,0,0
zankl/matrix-1-all-27.smt2,29,6,65,500.003,136.158,17.0844,3.22551,143.431,0.065992,89.3634,1970.0,749069.0,403335.0,790078.0,4180.0,781354.0,4544.0,sat,Timeout,0,0
zankl/matrix-1-all-28.smt2,21,8,53,103.725,26.2539,0.641904,0.47893,9.52261,0.027995,10.2904,1404.0,104954.0,101361.0,114662.0,2941.0,111100.0,621.0,sat,sat,0,0
zankl/matrix-1-all-29.smt2,22,6,41,0.145978,0.027997,0.096987,0.0,0.003999,0.004998,0.002,295.0,441.0,123.0,471.0,465.0,3.0,3.0,sat,sat,0,0
zankl/matrix-1-all-3.smt2,19,10,40,0.19497,0.031995,0.132979,0.0,0.004,0.008,-2.77556e-17,293.0,472.0,123.0,495.0,490.0,1.0,4.0,sat,sat,0,0
zankl/matrix-1-all-30.smt2,17,9,51,239.446,57.1942,5.2772,0.636902,16.5675,0.110977,12.0681,1196.0,151090.0,171562.0,180707.0,2481.0,167009.0,11217.0,sat,sat,0,0
zankl/matrix-1-all-31.smt2,20,9,72,500.0033,99.1619,5.024236,1.262788,37.9612,0.15397,17.1704,5236.0,43561.0,215741.0,416570.0,11027.0,390015.0,15528.0,unknown,Timeout,0,0
zankl/matrix-1-all-32.smt2,26,11,52,500.001,159.196,5.55615,2.60257,111.188,0.060989,69.9494,1288.0,550645.0,547923.0,551736.0,2696.0,543482.0,5558.0,sat,Timeout,0,0
