Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/gen-03.smt2,1,1,1,0.002,0.0,0.001,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-04.smt2,1,1,1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-05.smt2,2,1,2,0.003,0.0,0.001,0.0,0.0,0.0,0.0,8.0,4.0,3.0,8.0,8.0,0.0,0.0,sat,sat,1,0
zankl/gen-06.smt2,2,2,3,0.009999,0.001,0.003,0.0,0.0,0.0,0.0,35.0,45.0,27.0,76.0,62.0,14.0,0.0,sat,sat,1,0
zankl/gen-07.smt2,2,1,2,0.001,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-08.smt2,2,2,3,0.007999,0.0,0.005999,0.0,0.0,0.001,0.0,37.0,22.0,27.0,78.0,66.0,12.0,0.0,sat,sat,1,0
zankl/gen-09.smt2,2,2,3,0.005,0.001,0.0,0.0,0.0,0.0,0.0,25.0,26.0,16.0,45.0,40.0,5.0,0.0,sat,sat,1,0
zankl/gen-10.smt2,1,1,1,0.002,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,sat,sat,1,0
zankl/gen-13.smt2,1,1,1,0.003,0.0,0.001,0.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,4.0,3.0,0.0,unsat,unsat,1,0
zankl/gen-14.smt2,1,1,1,0.005,0.0,0.001,0.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,4.0,3.0,0.0,unsat,unsat,1,0
zankl/gen-15.smt2,2,2,3,0.027997,0.002999,0.009998,0.0,0.001,0.0,0.001,118.0,115.0,95.0,296.0,241.0,55.0,0.0,unsat,unsat,1,0
zankl/gen-16.smt2,2,2,3,0.002999,0.0,0.001,0.0,0.0,0.0,0.0,25.0,30.0,16.0,47.0,42.0,5.0,0.0,sat,sat,1,0
zankl/gen-17.smt2,2,2,3,0.032995,0.000999,0.007999,0.0,0.0,0.0,0.0,153.0,161.0,123.0,375.0,300.0,74.0,1.0,unsat,unsat,1,0
zankl/gen-18.smt2,2,2,3,0.004,0.0,0.002,0.0,0.0,0.0,0.0,19.0,10.0,13.0,33.0,28.0,5.0,0.0,sat,sat,1,0
zankl/gen-19.smt2,2,2,3,0.003999,0.0,0.002999,0.0,0.0,0.001,0.0,19.0,10.0,13.0,33.0,28.0,5.0,0.0,sat,sat,1,0
zankl/matrix-1-all-01.smt2,19,6,41,500.002396,46.343019,10.338431,0.594898,6.97694,0.468931,407.710825,52006.0,216201.0,245075.0,322864.0,103705.0,193264.0,25895.0,sat,Timeout,0,0
zankl/matrix-1-all-10.smt2,32,11,62,0.372943,0.055992,0.284961,0.0,0.001999,0.008998,-5.55112e-17,298.0,402.0,124.0,436.0,415.0,17.0,4.0,sat,sat,0,0
zankl/matrix-1-all-11.smt2,19,6,36,0.031995,0.001,0.013997,0.0,0.0,0.002,-3.46945e-18,95.0,62.0,21.0,80.0,80.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-12.smt2,29,11,59,0.158976,0.017996,0.096986,0.0,0.001,0.004,-2.77556e-17,202.0,194.0,58.0,228.0,228.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-13.smt2,31,9,65,500.002,283.944,3.32752,2.95355,30.3904,0.048987,95.3146,1112.0,819927.0,818387.0,819935.0,2057.0,810528.0,7350.0,sat,Timeout,0,0
zankl/matrix-1-all-14.smt2,14,7,30,0.017998,0.005,0.006999,0.0,0.001,0.0,-3.46945e-18,66.0,30.0,12.0,44.0,44.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-15.smt2,10,7,24,0.050992,0.009998,0.029995,0.0,0.0,0.0,0.0,114.0,161.0,44.0,173.0,170.0,0.0,3.0,unknown,sat,0,0
zankl/matrix-1-all-16.smt2,50,16,113,500.001,208.194,1.99269,1.9727,30.1334,0.07399,25.4971,1065.0,223245.0,268626.0,333007.0,1997.0,330497.0,513.0,sat,Timeout,0,0
zankl/matrix-1-all-17.smt2,29,9,97,15.1847,5.09721,0.611914,0.064995,0.431937,0.044994,0.333948,1016.0,13191.0,5523.0,13227.0,1930.0,10484.0,813.0,sat,sat,0,0
zankl/matrix-1-all-18.smt2,6,5,16,0.005,0.001,0.003,0.0,0.0,0.0,0.0,30.0,12.0,5.0,16.0,16.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-1-all-19.smt2,35,10,85,500.003,217.456,1.02086,1.65177,27.6708,0.023994,48.1717,1352.0,405202.0,354817.0,405284.0,2719.0,401269.0,1296.0,sat,Timeout,0,0
zankl/matrix-1-all-2.smt2,14,8,23,0.016998,0.002,0.012998,0.0,0.0,0.0,-3.46945e-18,51.0,20.0,8.0,28.0,28.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-20.smt2,16,7,32,0.013997,0.002,0.004999,0.0,0.0,0.0,0.0,68.0,28.0,11.0,40.0,40.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-21.smt2,13,10,30,0.058991,0.006999,0.044993,0.0,0.001,0.001,-6.93889e-18,83.0,72.0,21.0,80.0,80.0,0.0,0.0,sat,sat,0,0
zankl/matrix-1-all-22.smt2,19,13,32,39.7999,4.00437,37.5133,0.0,0.466927,0.091989,1.14783,845.0,20763.0,19577.0,20776.0,1597.0,15.0,19164.0,sat,sat,0,0
zankl/matrix-1-all-23.smt2,39,10,77,500.002,203.82,2.53361,5.23722,67.0008,0.07499,106.011,2220.0,899846.0,511206.0,900103.0,4697.0,894324.0,1082.0,sat,Timeout,0,0
zankl/matrix-1-all-24.smt2,11,5,23,0.012998,0.003,0.005998,0.0,0.0,0.0,0.0,48.0,18.0,8.0,28.0,28.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-1-all-25.smt2,55,11,124,500.003,191.744,24.6443,4.48028,56.9115,0.074992,100.817,2933.0,924787.0,316830.0,932977.0,6263.0,921281.0,5433.0,sat,Timeout,0,0
zankl/matrix-1-all-26.smt2,17,9,51,500.0007,219.6594,1.987692,7.743847,42.51862,0.181973,152.42237,3722.0,1280176.0,599701.0,1342070.0,7755.0,1332610.0,1701.0,unknown,Timeout,0,0
zankl/matrix-1-all-27.smt2,29,6,65,500.002,162.035,17.5274,4.91422,48.6216,0.078982,175.582,2834.0,1231400.0,563254.0,1270360.0,6282.0,1259880.0,4195.0,sat,Timeout,0,0
zankl/matrix-1-all-28.smt2,21,8,53,63.8463,20.9768,0.344942,0.429932,5.18519,0.013998,7.29184,994.0,95635.0,86808.0,99338.0,2041.0,97060.0,237.0,sat,sat,0,0
zankl/matrix-1-all-29.smt2,22,6,41,0.027996,0.001,0.020997,0.0,0.000999,0.001,0.0,103.0,66.0,21.0,80.0,80.0,0.0,0.0,sat,sat,0,0
