Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
meti-tarski/CMOS/CMOS-opamp-chunk-0343.smt2,3,2,8,900.000457998,30.529977,153.543269,0.0,0.70395,3.467784,0.353978,4619307.0,0.0,839875.0,419937.0,0.0,0.0,419937.0,unsat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0305.smt2,3,2,3,0.002999,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sat,sat,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0305.minismt.smt2,3,2,3,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sat,sat,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0178.smt2,3,2,4,0.005,0.0,0.002,0.0,0.0,0.001,0.0,11.0,6.0,3.0,8.0,8.0,0.0,0.0,sat,sat,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0332.smt2,3,2,7,900.001334999,83.924375,124.140441,0.0,2.523808,2.654778,0.868947,3330594.0,0.0,740133.0,370066.0,0.0,0.0,370066.0,unsat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0078.smt2,3,2,7,900.000073997,9.035507,121.028832,0.0,0.42397,4.753658,0.386981,4342860.0,0.0,868572.0,434286.0,0.0,0.0,434286.0,unsat,unknown,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0080.smt2,3,2,3,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sat,sat,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0130.smt2,3,2,7,900.001197997,8.687576,112.320631,0.0,0.366989,5.403619,0.38898,4346340.0,0.0,869269.0,434634.0,0.0,0.0,434634.0,sat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0296.smt2,3,2,7,900.001814997,7.368783,63.8252399999,0.0,0.860973,2.718821,0.544985,4513220.0,0.0,902645.0,451322.0,0.0,0.0,451322.0,sat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0313.smt2,3,2,8,900.000787,40.636482,113.508019,0.0,0.544968,3.442673,0.475952,3393220.0,0.0,678645.0,339322.0,0.0,0.0,339322.0,sat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0141.smt2,3,2,9,900.001999998,23.671409,155.093067,0.0,0.52196,3.515781,0.320979,4918296.0,0.0,819717.0,409858.0,0.0,0.0,409858.0,unsat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0183.smt2,3,2,3,0.006999,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sat,sat,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0311.minismt.smt2,3,2,7,900.000790998,8.328556,119.930816,0.0,0.414982,5.293617,0.381972,4263160.0,0.0,852633.0,426316.0,0.0,0.0,426316.0,sat,Timeout,0,0
meti-tarski/CMOS/CMOS-opamp-chunk-0259.smt2,3,2,3,0.003999,0.0,0.002999,0.0,0.0,0.0,0.0,10.0,6.0,3.0,8.0,8.0,0.0,0.0,sat,sat,0,0
