Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
qe_problems/olympic/manual-lisp/imo2000-2-l2.smt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,timeout,0,0
qe_problems/olympic/manual-fof/imo2013-4-m2.smt2,2,2,3,0.007999,0.001,0.003999,0,0,0,0,35,71,18,73,71,2,0,unknown,sat,1,1
qe_problems/paper/lasserre012.smt2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,sat,0,0
qe_problems/paper/hong902.smt2,3,3,8,0.004999,0.002,0,0,0,0,0,19,13,5,16,16,0,0,unknown,sat,0,0
qe_problems/paper/chen146.smt2,3,3,49,226.445,0.005997,0.007,0,0.003,0.002,18.8441,104,35831900,45,143,113,29,1,unknown,sat,1,1
qe_problems/paper/portfolio12.smt2,1,1,2,900.001522,15.009659,145.622705,0,2.148958,5.473723,2.287955,1868586,0,1245725,622862,0,0,622862,unknown,Timeout,0,0
qe_problems/paper/makepdq2.smt2,1,1,3,0.003,0,0.001,0,0,0,0,8,9,3,9,9,0,0,unknown,sat,0,0
qe_problems/paper/makepdq4.smt2,2,2,5,0.007999,0.001,0.003999,0,0,0.001,0,27,45,13,45,43,2,0,unknown,sat,0,0
qe_problems/paper/portfolio16.smt2,2,2,7,15.0467,0.059987,0.487929,0.016,14.5338,0.024998,0.491934,5454,13605,5435,13589,10872,2717,0,unknown,sat,0,0
qe_problems/paper/delinpol2.smt2,3,3,8,0.001,0,0,0,0,0,0,17,21,4,13,13,0,0,unknown,sat,1,0
qe_problems/paper/parrilo062.smt2,1,1,1,0.001,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,sat,0,0
qe_problems/paper/kah752.smt2,3,3,6,0.009999,0.001999,0.005,0,0,0.002,0,33,48,13,53,53,0,0,unknown,sat,0,0
qe_problems/paper/dorato972.smt2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,sat,0,0
qe_problems/paper/hong974.smt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,timeout,0,0
qe_problems/paper/portfolio14.smt2,1,1,2,900.001235,15.20266,149.848597,0,2.277948,5.904719,2.298964,1875306,0,1250205,625102,0,0,625102,unknown,Timeout,0,0
qe_problems/paper/chen144.smt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,timeout,0,0
qe_problems/paper/chen142.smt2,1,1,2,0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,unknown,sat,1,0
qe_problems/paper/chen148.smt2,1,1,2,0.013998,0.004999,0.003,0,0,0.003999,0,23,43,15,44,40,0,4,unknown,sat,1,0
qe_problems/paper/hong972.smt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,timeout,0,0
qe_problems/paper/hong976.smt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,timeout,0,0
qe_problems/opt/fujisawa092.smt2,1,1,3,0.001,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,sat,0,0
qe_problems/opt/lampinen004.smt2,2,2,12,0.018998,0.002,0.010998,0,0,0.000999,0.001,68,158,59,163,91,72,0,unknown,unsat,1,0
qe_problems/opt/lampinen006.smt2,2,2,12,0.010999,0.002,0.003,0.001,0,0.001,0,68,165,59,164,90,74,0,unknown,unsat,1,0
qe_problems/opt/deb112.smt2,1,1,3,0.001,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,sat,0,0
qe_problems/opt/kinoshita112.smt2,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,unknown,sat,0,0
qe_problems/opt/kinoshita118.smt2,1,1,1,0.001,0,0,0,0,0,0,6,6,3,8,8,0,0,unknown,sat,0,0
qe_problems/opt/kinoshita114.smt2,1,1,2,0,0,0.001,0,0,0,0,5,4,2,5,5,0,0,unknown,sat,0,0
