Problem,time,z3 Result
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0017.smt2,0.029959,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0018.smt2,0.011596,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0019.smt2,0.014053,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0020.smt2,0.021108,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0021.smt2,0.019337,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0022.smt2,0.01458,sat
QF_NRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0023.smt2,0.950189,unsat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0002.smt2,0.012596,sat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0003.smt2,0.008362,sat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0004.smt2,0.019222,sat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0005.smt2,0.013858,sat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0007.smt2,0.010892,sat
QF_NRA/meti-tarski/Arthan/1C/Arthan1C-chunk-0008.smt2,0.018519,unsat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0002.smt2,0.012998,sat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0003.smt2,0.012377,sat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0004.smt2,0.014475,sat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0005.smt2,0.009579,sat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0007.smt2,0.009552,sat
QF_NRA/meti-tarski/Arthan/KM2/ArthanKM2-chunk-0008.smt2,0.045776,unsat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0005.smt2,0.021691,sat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0007.smt2,0.004272,sat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0009.smt2,0.015076,sat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0010.smt2,0.014015,unsat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0012.smt2,0.014348,unsat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0013.smt2,0.013552,unsat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0015.smt2,0.568453,unsat
QF_NRA/meti-tarski/Arthan/M2/ArthanM2-chunk-0016.smt2,0.015392,unsat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0018.smt2,0.014699,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0019.smt2,0.010535,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0020.smt2,0.012699,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0021.smt2,0.013516,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0022.smt2,0.009883,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0023.smt2,0.012903,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0024.smt2,0.011484,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0025.smt2,0.010517,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0026.smt2,0.013607,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0027.smt2,0.012136,unsat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0028.smt2,0.01336,sat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0029.smt2,0.006577,unsat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0031.smt2,0.015036,unsat
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0033.smt2,0.008321,sat
