Problem,time,z3 Result
qe_problems/olympic/manual-lisp/imo2000-2-l2.smt2,0.093269,sat
qe_problems/olympic/manual-fof/imo2013-4-m2.smt2,0.002952,sat
qe_problems/paper/lasserre012.smt2,0.00282,sat
qe_problems/paper/hong902.smt2,0.002852,sat
qe_problems/paper/chen146.smt2,0.010425,sat
qe_problems/paper/portfolio12.smt2,0.002624,sat
qe_problems/paper/makepdq2.smt2,0.002762,sat
qe_problems/paper/makepdq4.smt2,0.002899,sat
qe_problems/paper/portfolio16.smt2,0.002915,sat
qe_problems/paper/delinpol2.smt2,0.013545,sat
qe_problems/paper/parrilo062.smt2,0.002466,sat
qe_problems/paper/kah752.smt2,0.002778,sat
qe_problems/paper/dorato972.smt2,0.002392,sat
qe_problems/paper/hong974.smt2,0.002195,sat
qe_problems/paper/portfolio14.smt2,0.002562,sat
qe_problems/paper/chen144.smt2,0.002111,sat
qe_problems/paper/chen142.smt2,0.002561,sat
qe_problems/paper/chen148.smt2,0.033212,sat
qe_problems/paper/hong972.smt2,0.002587,sat
qe_problems/paper/hong976.smt2,0.002363,sat
qe_problems/opt/fujisawa092.smt2,0.003137,sat
qe_problems/opt/lampinen004.smt2,0.002917,sat
qe_problems/opt/lampinen006.smt2,0.002889,sat
qe_problems/opt/deb112.smt2,0.002829,sat
qe_problems/opt/kinoshita112.smt2,0.003389,sat
qe_problems/opt/kinoshita118.smt2,0.002576,sat
qe_problems/opt/kinoshita114.smt2,0.002807,sat
qe_problems/opt/kinoshita116.smt2,0.002572,sat
qe_problems/opt/lampinen002.smt2,0.005089,sat
qe_problems/toy/cubic6.smt2,0.011008,sat
qe_problems/toy/def50.smt2,0.0024,sat
qe_problems/toy/def22.smt2,0.00199,unsat
qe_problems/toy/def24.smt2,0.002032,unsat
qe_problems/toy/def26.smt2,0.002139,sat
qe_problems/toy/quad2.smt2,0.002274,sat
qe_problems/toy/def12.smt2,0.002207,unsat
qe_problems/toy/quad4.smt2,0.002568,sat
qe_problems/toy/def32.smt2,0.002049,unsat
qe_problems/toy/def66.smt2,0.002251,sat
qe_problems/toy/quad8.smt2,0.003017,sat
qe_problems/toy/def40.smt2,0.002024,sat
qe_problems/toy/quad10.smt2,0.013045,sat
qe_problems/toy/def60.smt2,0.002211,unsat
qe_problems/toy/def34.smt2,0.00224,unsat
qe_problems/toy/redlog2.smt2,0.002487,sat
qe_problems/toy/def16.smt2,0.002127,sat
qe_problems/toy/cubic2.smt2,0.009444,sat
qe_problems/toy/def36.smt2,0.002106,unsat
qe_problems/toy/def4.smt2,0.002053,sat
qe_problems/toy/def38.smt2,0.002184,sat
qe_problems/toy/def28.smt2,0.002017,sat
qe_problems/toy/def20.smt2,0.002201,unsat
qe_problems/toy/def70.smt2,0.002167,unsat
qe_problems/toy/quartic2.smt2,0.012108,sat
qe_problems/toy/def68.smt2,0.002164,unsat
qe_problems/toy/def62.smt2,0.002022,sat
qe_problems/toy/def44.smt2,0.002073,unsat
qe_problems/toy/def30.smt2,0.002285,sat
qe_problems/toy/quartic4.smt2,0.012857,sat
qe_problems/toy/def56.smt2,0.002329,unsat
qe_problems/toy/def42.smt2,0.002099,sat
qe_problems/toy/def6.smt2,0.002025,sat
qe_problems/toy/def14.smt2,0.002072,sat
qe_problems/toy/cubic8.smt2,0.003803,sat
qe_problems/toy/cubic4.smt2,0.003717,sat
qe_problems/toy/def18.smt2,0.002163,sat
qe_problems/toy/def52.smt2,0.002203,sat
qe_problems/toy/def64.smt2,0.002212,sat
qe_problems/toy/def10.smt2,0.002107,unsat
qe_problems/toy/def58.smt2,0.002253,unsat
qe_problems/toy/def2.smt2,0.002199,sat
qe_problems/toy/def8.smt2,0.002261,unsat
qe_problems/toy/def48.smt2,0.00227,unsat
qe_problems/toy/def72.smt2,0.002127,unsat
qe_problems/toy/def46.smt2,0.002025,unsat
qe_problems/toy/quad6.smt2,0.002687,sat
qe_problems/toy/def54.smt2,0.002084,sat
qe_problems/exam/manual-lisp/kyudai2013-Ri-4-l6.smt2,0.003073,sat
qe_problems/exam/manual-lisp/kyushu2007-Bun-2-l4.smt2,0.002581,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l6.smt2,0.002084,unsat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-1-l20.smt2,0.002271,sat
qe_problems/exam/manual-lisp/yozemic2011-2-IA-3-l4.smt2,0.002166,sat
qe_problems/exam/manual-lisp/kyushu2007-Bun-2-l10.smt2,0.002117,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-2-l6.smt2,0.002562,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l4.smt2,0.005828,sat
qe_problems/exam/manual-lisp/kyushu2013-Bun-2-l2.smt2,0.002373,sat
qe_problems/exam/manual-lisp/kyushu2007-Bun-4-l2.smt2,0.002802,sat
qe_problems/exam/manual-lisp/kyushu2007-Bun-2-l2.smt2,0.002039,sat
qe_problems/exam/manual-lisp/kyudai2013-Ri-4-l2.smt2,0.002681,sat
qe_problems/exam/manual-lisp/tohoku2011-Bun-2-l4.smt2,0.002254,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-2-l8.smt2,0.002745,sat
qe_problems/exam/manual-lisp/kyushu2005-Bun-1-l2.smt2,0.031959,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-1-l4.smt2,0.026837,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-1-l4.smt2,0.002946,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-1-l6.smt2,0.002946,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l22.smt2,0.002367,unsat
qe_problems/exam/manual-lisp/kyushu2009-Ri-1-l6.smt2,0.007023,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-1-l18.smt2,0.011265,sat
qe_problems/exam/manual-lisp/kyushu2009-Bun-1-l2.smt2,0.002525,sat
qe_problems/exam/manual-lisp/tokyo2013-Bun-2-l2.smt2,0.002235,sat
qe_problems/exam/manual-lisp/tokyo2009-Bun-1-l4.smt2,0.002587,sat
qe_problems/exam/manual-lisp/kyudai2009-Bun-2-l2.smt2,0.025951,sat
qe_problems/exam/manual-lisp/tokyo2011-Ri-6-l2.smt2,0.009143,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-1-l6.smt2,0.003134,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l12.smt2,0.002192,sat
qe_problems/exam/manual-lisp/kyushu2001-Bun-1-l6.smt2,0.002869,sat
qe_problems/exam/manual-lisp/tokyo2011-Bun-1-l4.smt2,0.002394,sat
qe_problems/exam/manual-lisp/tokyo2011-Bun-1-l6.smt2,0.002217,sat
qe_problems/exam/manual-lisp/tohoku2011-Bun-4-l2.smt2,0.002649,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l18.smt2,0.011994,sat
qe_problems/exam/manual-lisp/yozemic2014-1-IA-2-l10.smt2,0.003149,sat
qe_problems/exam/manual-lisp/yozemi2014-1-Ri-3-l20.smt2,0.002412,sat
qe_problems/exam/manual-lisp/tokyo2011-Ri-1-l2.smt2,0.026427,sat
qe_problems/exam/manual-lisp/kyudai2013-Ri-4-l4.smt2,0.002422,sat
